Code File,Task
powerflow-ex1.py,"Run a power-flow simulation and display key results for the PV buses, Slack bus, system buses, and transmission lines."
powerflow-ex2.py,"Load the IEEE 39-bus case, run a power-flow simulation, and display key results for the PV buses, Slack bus, and all system buses."
powerflow-ex3.py,"Load the IEEE 39-bus case, add a new load and a new PV generator, then set up and run a power-flow simulation."
powerflow-ex4.py,"Load the IEEE 39-bus case, scale the active and reactive power demands of all PQ loads by 10%, then run a power-flow simulation and display the updated values."
powerflow-ex5.py,"Load the IEEE 39-bus case, increase all PQ load active and reactive powers by 10%, modify specific loads by index, then run a power-flow simulation and display the updated values."
powerflow-ex6.py,"Load the IEEE 39-bus case, modify the active and reactive power setpoints for selected PV buses, then run a power-flow simulation and display the updated values."
powerflow-ex7.py,"Load the IEEE 39-bus case, update the voltage magnitude and angle setpoints for the Slack bus, then run a power-flow simulation and display the updated values."
powerflow-ex8.py,"Load the IEEE 39-bus case and display the PQ load table as a DataFrame."
powerflow-ex9.py,"Load the IEEE 39-bus workbook, list all sheets with their column headers, run a power-flow simulation, then retrieve and display the values of the 7th column from the first sheet using ANDES."
powerflow-ex10.py,"Load the IEEE 39-bus case, run a power-flow simulation, and display the total number of generators and loads in the system."
powerflow-ex11.py,"Load the IEEE 39-bus case, run a power-flow simulation, and display the maximum and minimum generator capacities in the system."
powerflow-ex12.py,"Load the IEEE 39-bus case, run a power-flow simulation, and identify the bus with the highest voltage magnitude, displaying its UID and value."
powerflow-ex13.py,"Load the IEEE 39-bus case, run a power-flow simulation, and find the generator with the highest active power output, displaying its name and output in MW."
powerflow-ex14.py,"Load the IEEE 39-bus case, run a power-flow simulation, and display the total numbers of generators and loads before and after adding a new load and a new PV generator."
powerflow-ex15.py,"Load the IEEE 39-bus case, run a power-flow simulation, and identify the buses with the largest and smallest voltage angles (in radians), displaying their UIDs, values, and the maximum angle difference."
powerflow-ex16.py,"Load the IEEE 39-bus case, run a power-flow simulation, and identify the buses with the largest and smallest voltage angles in degrees, displaying their UIDs, values, and the maximum angle difference."
powerflow-ex17.py,"Load the IEEE 39-bus case, run a power-flow simulation, and find the generator with the lowest active power output, displaying its name and output in MW."
powerflow-ex18.py,"Load the IEEE 39-bus case, run a power-flow simulation, and find the generator with the lowest reactive power output, displaying its name and output in Mvar."